port_id,port_name,country_code,water_body,latitude,longitude
62910,Ostrovnoy Gremikha,Russia,Barents Sea; Arctic Ocean,68.05833333,39.52555556
62670,Tiksi,Russia,Laptev Sea; Arctic Ocean,71.64444444,128.8905556
62635,Port Beringovsky,Russia,Anadyrskiy Zaliv; Bering Sea; North Pacific Ocean,63.06305556,179.3675
62695,Port Dikson,Russia,Kara Sea; Arctic Ocean,73.50638889,80.50611111
62640,Provideniya,Russia,Anadyrskiy Zaliv; Bering Sea; North Pacific Ocean,64.42111111,-173.2275
24250,Trelleborg,Sweden,Baltic Sea; North Atlantic Ocean,55.36,13.15055556
20500,Coppermine,Canada,Northwest Passages; Arctic Ocean,67.83,-115.0963889
23670,Porsgrunn,Norway,Skagerrak; North Atlantic Ocean,59.14722222,9.653888889
1340,Goose Bay,Canada,Labrador Sea; North Atlantic Ocean,53.366667,-60.3
24020,Goteborg,Sweden,Kattegat; North Atlantic Ocean,57.70972222,11.95472222
1470,Baie Verte,Canada,North Atlantic Ocean,49.91666667,-56.2
1420,St Anthony,Canada,North Atlantic Ocean,51.36666667,-55.56666667
1591,Carmanville,Canada,North Atlantic Ocean,49.4,-54.26666667
1090,Churchill,Canada,Hudson Bay; Arctic Ocean,58.78333333,-94.2
1500,Springdale,Canada,North Atlantic Ocean,49.5,-56.06666667
1450,Roddickton,Canada,North Atlantic Ocean,50.86666667,-56.13333333
1560,Lewisporte,Canada,North Atlantic Ocean,49.25,-55.05
1150,Deception Bay,Canada,Hudson Strait; Arctic Ocean,62.15,-74.68333333
1260,Nain,Canada,Labrador Sea; North Atlantic Ocean,56.55,-61.68333333
1540,Botwood,Canada,North Atlantic Ocean,49.13333333,-55.33333333
1570,Twillingate,Canada,North Atlantic Ocean,49.65,-54.76666667
29670,Bandholm,Denmark,Baltic Sea; North Atlantic Ocean,54.833333,11.5
28930,Kiel,Germany,Baltic Sea; North Atlantic Ocean,54.316667,10.133333
29555,Naestved,Denmark,Baltic Sea; North Atlantic Ocean,55.233333,11.75
29700,Nakskov,Denmark,Baltic Sea; North Atlantic Ocean,54.833333,11.133333
28848,Stralsund,Germany,Baltic Sea; North Atlantic Ocean,54.316667,13.1
29530,Skaelskor,Denmark,Baltic Sea; North Atlantic Ocean,55.25,11.3
940,Kajalleq Upernavik,Greenland,Baffin Bay; Arctic Ocean,72.15,-55.533333
280,Dalvik,Iceland,Greenland Sea; Arctic Ocean,65.983333,-18.516667
29490,Kalundborg,Denmark,Kattegat; North Atlantic Ocean,55.683333,11.1
